ï»¿Locality,References,log fO2 (dFMQ),log fO2 (dFMQ)_1std,Analysis,Method,Remarks 1,U-Pb Age,Ti-in-zirc Temp C,P,Ti,Y,Nb,Hf,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,log fO2 (dFMQ).1,log fO2 (dFMQ)_1std.1,Th/U
"Torfajokull silicic stratovolcano,  SE Iceland","Carley, T.L., 2010",0.3,0.2,3A03TE-5.1E,SHRIMP-RG,,0,,5.61256268387772,3.246490991901174,7.343426229147367,3.367295829986474,9.07211225269274,5.882486384538237,5.647917341814805,-1.7719568419318752,3.5389282773504322,-0.6836179808787117,1.8213182714695995,2.5877640352277083,1.1969481893889715,4.73795129722191,3.634951112088381,5.9568731023383625,4.9279780604152466,6.327936783729195,4.6913478822291435,6.692827882439268,4.874433672915854,0.3,0.2,1.264363764540007
"Torfajokull silicic stratovolcano,  SE Iceland","Carley, T.L., 2010",0.3,0.2,3A03TE-6.1E,SHRIMP-RG,,0,,4.671119551777833,3.0252910757955354,8.093156697722637,3.484312288372662,9.090768236835338,5.422303346329028,5.503704196272987,-2.8134107167600364,3.2722270003651954,-1.2340150934492669,0.8241754429663494,1.4586150226995167,0.13976194237515863,3.591817741270805,2.5726122302071057,4.984291318756654,4.023564380161053,5.457881936219375,3.832979798087693,5.8924725979010315,4.120661870539474,0.3,0.2,0.9218241042345278
"Torfajokull silicic stratovolcano,  SE Iceland","Carley, T.L., 2010",0.3,0.2,3A03TE-7.1E,SHRIMP-RG,,0,,5.5096389309072755,3.044522437723423,7.77779262633883,3.4436180975461075,9.003931019653137,5.444147814759576,5.393627546352362,-2.0402208285265546,3.6778185067545115,-1.9733848287664972,1.4996230464268938,2.174751721484161,0.7747271675523681,4.31748811353631,3.246490991901174,5.60285655606624,4.590056548178043,6.026590349083357,4.361823927356363,6.407209964623703,4.605170185988092,0.3,0.2,1.0518181818181818
"Torfajokull silicic stratovolcano,  SE Iceland","Carley, T.L., 2010",0.3,0.2,3A03TE-11.1E,SHRIMP-RG,,0,,5.894660685681305,2.9231615807191558,7.002155954403621,2.785011242238338,8.97449144816442,4.840242308167575,5.087596335232384,-3.2188758248682006,3.4882920885130893,-3.2859865749188066,0.959350221334602,1.7047480922384253,0.37843643572024505,3.933784497209659,2.9231615807191558,5.357529226179882,4.428433007488037,5.955319100471629,4.341204640153626,6.421297011664441,4.664382045619937,0.3,0.2,0.7808641975308642
"Torfajokull silicic stratovolcano,  SE Iceland","Carley, T.L., 2010",0.3,0.2,3A03TE-12.1I,SHRIMP-RG,,0,,5.38826348843325,2.975529566236472,6.88653164253051,3.095577608523707,9.104646467417119,4.574710978503383,4.877484781308751,-3.912023005428146,3.2499868198932536,-1.6955858402798212,0.6678293725756554,1.252762968495368,-0.06187540371808753,3.4657359027997265,2.4765384001174837,4.890349128221754,3.977810745966149,5.447168313280391,3.856510295497887,5.925057614910384,4.185098925490565,0.3,0.2,0.7387661843107387
"Torfajokull silicic stratovolcano,  SE Iceland","Carley, T.L., 2010",0.3,0.2,3A03TE-13.1E,SHRIMP-RG,,0,,6.718553237240426,3.0492730404820207,7.175489713624222,3.1986731175506815,9.05321861620397,4.9670316566141235,5.20893955539682,-3.2188758248682006,3.365224721203338,-2.62009151971437,0.7080357930536959,1.4586150226995167,0.09531017980432493,3.616308761279101,2.6026896854443837,4.956531035103055,4.00369019395397,5.424509391785796,3.775057150354989,5.835979644267587,4.053522567701846,0.3,0.2,0.7851284855112083
"Torfajokull silicic stratovolcano,  SE Iceland","Carley, T.L., 2010",0.3,0.2,3A03TE-14.1E,SHRIMP-RG,,0,,4.9683767679655535,3.1135153092103742,7.253470382684528,3.3568971227655755,9.056489647157923,5.615679593101228,5.515845179076611,-3.506557897319982,3.3446270301737613,-1.8313789183086757,0.8458682675776092,1.5260563034950492,0.04879016416943205,3.634951112088381,2.667228206581955,5.031091302663638,4.028916756899646,5.510602174527371,3.893859034800475,5.916741000912046,4.11414718951828,0.3,0.2,1.1049879324215608
"Torfajokull silicic stratovolcano,  SE Iceland","Carley, T.L., 2010",0.3,0.2,3A03TE-15.1E,SHRIMP-RG,,0,,5.623209787936105,3.054001181677967,7.202661196523238,3.261935314328648,9.037533407550814,5.3097517441737,5.263725921778417,-2.5257286443082556,3.7067193722422673,-4.285182603423476,1.1755733298042381,1.8082887711792655,0.3920420877760237,4.036008985209137,3.0106208860477417,5.460436216024472,4.5685062016165,6.053969752459379,4.455509411433685,6.493602542476407,4.730039168033961,0.3,0.2,1.0471014492753625
"Torfajokull silicic stratovolcano,  SE Iceland","Carley, T.L., 2010",0.3,0.2,3A03TE-16.1C,SHRIMP-RG,,0,,5.815371179198147,2.928523523860541,8.083328608786376,3.3357695763397,9.054855469135788,5.310739886546594,5.39725731440294,-2.3025850929940455,3.896706301316253,-1.80001657393835,1.5216989981260935,2.2823823856765264,0.7514160886839212,4.430816798843313,3.3463891451671604,5.697764402330638,4.683056724645162,6.097175001530096,4.443827035579329,6.421622267806518,4.620058798481842,0.3,0.2,0.9171195652173912
"Torfajokull silicic stratovolcano,  SE Iceland","Carley, T.L., 2010",0.3,0.2,3A03TE-17.1C,SHRIMP-RG,,0,,5.495430361814569,2.9652730660692823,7.085901464365611,3.2188758248682006,9.081824949740755,5.012633296758929,5.051137237405586,-2.659260036932778,3.589611452455267,-1.7913877873978399,1.1568811967920856,1.824549292051046,0.43178241642553783,3.9852734671677386,2.8903717578961645,5.311727053457954,4.393213824064446,5.876053695596654,4.26689632742025,6.348964150921271,4.572646994282532,0.3,0.2,0.9622279129321384
