Locality,References,log fO2 (dFMQ),log fO2 (dFMQ)_1std,Analysis,Method,Remarks 1,U-Pb Age,Ti-in-zirc Temp C,P,Ti,Fe,Sr,Sc,Y,Nb,Hf,Ta,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-1.2Rp,SHRIMP-RG,Interior,0.15,,386,4.8,0.4,,87,1463,2.1,10489,,,138,216,0.02,13.2,,1,2.59,0.998,28,57,10.4,131,273,61,549,107
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-1.3,SHRIMP-RG,Interior,0.03,,199,5.7,0.4,,72,607,1.8,10664,,,68,142,0.001,7.7,,0.2,0.82,0.27,11,26,4,56,128,30,254,53
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-2.1,SHRIMP-RG,Interior,0.09,,248,7.5,0.3,,109,808,2.2,9387,,,94,176,0.003,8.7,,0.3,1.16,0.39,14,33,5,71,165,38,330,67
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-2.2,SHRIMP-RG,Interior,0.1,,190,5.4,0.5,,74,728,2.1,9814,,,60,149,0.004,6.2,,0.2,0.98,0.22,12,30,5,62,152,37,319,66
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-2.3,SHRIMP-RG,Rim,0.09,,256,3.9,0.8,,170,1590,7.9,10393,,,141,364,0.003,11.4,,0.6,2.26,0.34,28,68,11,145,321,72,602,120
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-3.1,SHRIMP-RG,Rim,0.07,,212,4.4,0.5,,75,880,3.6,10936,,,109,248,0.005,10,,0.3,1.15,0.22,14,38,6,80,180,41,347,70
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-3.2,SHRIMP-RG,Interior,0.09,,619,3.9,0.7,,127,4584,7.7,11646,,,679,883,0.022,25.5,,4.2,11.52,2.12,124,212,43,505,891,184,1433,257
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-3.3,SHRIMP-RG,Core,0.14,,533,5.9,0.6,,188,5086,5.9,10167,,,586,708,0.036,21.9,,5.4,15.2,3.38,153,238,52,584,984,200,1528,276
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-4.1,SHRIMP-RG,Rim,0.04,,255,8.2,0.8,,91,754,2,9924,,,117,187,0.003,9.5,,0.4,1.15,0.42,13,32,5,69,154,36,307,62
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-4.2,SHRIMP-RG,Interior,0.13,,49,5,0.7,,24,344,0.6,9291,,,43,112,0.006,1.5,,0.2,0.69,0.23,6,13,2,26,69,18,166,37
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-5.1,SHRIMP-RG,Interior,0.09,,311,6.3,0.6,,116,1118,2.9,10382,,,117,246,0.005,10.6,,0.4,1.4,0.41,17,47,7,95,229,56,491,103
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-5.1Rp,SHRIMP-RG,Interior,0.09,,284,7,0.8,,131,1060,3.4,9691,,,96,229,0.008,10.7,,0.4,1.31,0.43,16,41,6.2,87,224,53,479,99
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-5.2Rp,SHRIMP-RG,Rim,0.05,,201,9.3,0.4,,128,612,1.5,8961,,,31,73,0.02,5.6,,0.3,0.84,0.366,10,24,4,53,120,28,247,52
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-5.3,SHRIMP-RG,Interior,0.03,,251,9.2,0.6,,159,1021,2.4,9042,,,75,144,0.004,8.2,,0.5,1.51,0.65,19,44,7,95,214,50,429,89
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-5.3Rp,SHRIMP-RG,Interior,0.03,,429,7,0.6,,112,682,1.7,9822,,,53,125,0.009,6.7,,0.2,0.82,0.282,10,25,4.4,58,133,32,294,60
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-6.1,SHRIMP-RG,Interior,0.1,,353,5.1,0.7,,80,844,1.7,10896,,,86,175,0.005,7.9,,0.3,1.14,0.31,15,35,6,76,178,42,377,77
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-6.2,SHRIMP-RG,Interior,0.05,,329,9.5,0.5,,160,1482,5.7,9063,,,182,280,0.005,17.2,,0.5,1.62,0.5,22,60,9,124,292,69,583,120
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-7.1,SHRIMP-RG,Core,0.12,,281,10.7,0.9,,81,2118,1.9,8377,,,308,322,0.033,16.3,,2.9,6.1,2.45,49,82,17,193,383,88,755,151
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-7.3,SHRIMP-RG,Rim,0.06,,266,9.2,0.8,,151,854,2.5,8342,,,53,122,0.004,7.8,,0.3,1.09,0.41,13,34,5,72,176,43,375,78
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-8.1,SHRIMP-RG,Interior,0.08,,292,3.1,0.4,,79,1029,4.9,10975,,,157,312,0.004,15.4,,0.3,0.95,0.17,14,40,6,83,207,50,460,94
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-8.2,SHRIMP-RG,Core,0.15,,118,4.2,1.2,,37,342,1.1,11793,,,29,77,0.007,4.4,,0.1,0.37,0.1,5,14,2,28,71,17,155,33
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-9.1,SHRIMP-RG,Interior,0.06,,681,5.3,0.6,,75,2767,7,9530,,,762,689,0.006,32.8,,1.5,4.71,1.23,54,118,21,263,558,127,1092,211
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-9.2,SHRIMP-RG,Interior,0.07,,255,3.9,1.2,,72,1016,4.8,11239,,,87,227,0.004,10.6,,0.2,1.06,0.23,15,43,6,88,214,51,450,92
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-10.2,SHRIMP-RG,Interior,0.09,,262,6.5,3,,96,925,3,10600,,,98,211,0.027,10.2,,0.3,0.98,0.33,13,37,5,76,189,47,423,90
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-10.3,SHRIMP-RG,Rim,0.05,,266,8.6,0.6,,94,727,1.8,8975,,,115,186,0.026,9.8,,0.3,1.14,0.39,13,29,5,66,146,34,291,58
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-11.1,SHRIMP-RG,Interior,0.1,,287,3.7,0.7,,73,925,3.5,11444,,,182,339,0.005,12.8,,0.3,1.13,0.25,14,38,6,80,189,46,395,82
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-11.2,SHRIMP-RG,Interior,0.2,,295,5.9,4.4,,84,1933,1.9,10319,,,261,323,0.008,14,,1.7,4.38,1.19,43,85,16,191,378,85,699,137
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-12.1,SHRIMP-RG,Interior,0.06,,455,7.3,0.6,,179,3009,4,8737,,,271,333,0.023,13.3,,2.8,8.4,2.45,82,142,29,329,575,120,922,174
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-12.1Rp,SHRIMP-RG,Interior,0.06,,363,6.2,0.4,,98,1293,5.6,10169,,,352,357,0.02,17.4,,0.7,1.77,0.432,25,53,9.3,122,272,60,520,104
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-12.2Rp,SHRIMP-RG,Interior,0.04,,490,9.4,0.3,,216,3257,4.6,8157,,,364,381,0.055,17.8,,4.1,10.36,3.277,97,151,33.9,376,638,131,1028,187
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-13.2,SHRIMP-RG,Core,0.03,,1159,8.9,0.8,,189,4400,7.6,9963,,,1110,870,0.011,52.2,,2.2,7.13,2.87,90,181,33,415,864,193,1628,317
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-14.1,SHRIMP-RG,Core,0.09,,481,6.7,1.2,,170,4054,6.1,7875,,,416,534,0.022,21.1,,3.8,9.81,2.25,98,175,35,408,776,170,1365,258
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-14.2,SHRIMP-RG,Rim,0.03,,222,6.8,1.2,,66,626,1.9,9478,,,85,155,0.009,8.4,,0.3,0.88,0.25,11,25,4,56,124,30,266,54
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-16.1,SHRIMP-RG,Core,,,579,7,1,,151,1677,5.3,11033,,,323,495,0.355,16.1,,1.1,2.46,0.6,31,74,12,158,327,72,587,116
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-16.2,SHRIMP-RG,Interior,0.03,,229,6.3,12.7,,54,636,1.9,11705,,,121,233,0.012,9,,0.3,0.78,0.18,10,27,4,57,133,31,275,57
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-16.3,SHRIMP-RG,Interior,0.13,,256,6.8,0.4,,79,760,2.4,10581,,,123,213,0.003,10.2,,0.3,1.08,0.31,13,32,5,68,153,36,309,64
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-17.1Rp,SHRIMP-RG,Core,,,725,9.4,5.2,,173,3723,5,8717,,,531,513,0.132,40,,5,10.44,3.428,88,141,29.1,335,617,135,1122,215
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-17.2,SHRIMP-RG,Interior,0.04,,172,6.4,1.5,,46,602,1.3,10855,,,70,118,0.021,6.7,,0.3,0.86,0.31,11,25,4,54,123,29,265,54
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634-17.3,SHRIMP-RG,Rim,0.05,,234,8.1,0.4,,132,1012,2.8,12046,,,91,193,0.013,9.8,,0.4,1.31,0.49,18,45,7,95,222,52,454,95
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634B-2T,SHRIMP-RG,Rim,,,342,7.8,0.9,,196,1451,4.5,9479,,,122,201,0.008,13.9,,0.6,1.89,0.786,23,59,9.55,124,295,68,561,110
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634B-3T,SHRIMP-RG,Rim,,,398,15,0.6,,290,1565,2.3,8599,,,109,144,0.01,10.8,,0.7,2.14,1.187,26,64,11.28,148,313,74,559,105
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634B-4T,SHRIMP-RG,Rim,0.03,,488,11.9,0.8,,315,2260,6,8830,,,183,283,0.003,18.4,,0.9,2.69,1.251,36,91,15.54,207,444,105,828,159
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634B-5T,SHRIMP-RG,Rim,,,258,7,0.5,,106,780,2.3,9775,,,94,153,0.008,9.7,,0.4,1.52,0.541,14,32,5.57,68,153,36,301,58
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634B-6T,SHRIMP-RG,Rim,,,454,11.4,1.8,,306,1866,3.8,8908,,,154,231,0.056,15.7,,0.6,2.61,1.023,31,76,12.85,163,367,85,694,131
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634B-7T,SHRIMP-RG,Rim,,,326,6.6,0.9,,93,928,2.6,10641,,,261,320,0.005,14.1,,0.5,1.56,0.48,18,36,6.91,88,183,44,388,73
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634B-8T,SHRIMP-RG,Rim,,,286,6.4,0.6,,152,1073,3.7,10186,,,86,188,0.018,11.4,,0.4,1.64,0.528,16,42,6.82,94,227,52,469,98
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634B-9T,SHRIMP-RG,Rim,,,285,5.8,0.8,,114,935,2.9,10205,,,115,206,0.008,11.6,,0.5,1.43,0.603,16,37,6.69,84,183,43,364,71
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634B-10T,SHRIMP-RG,Rim,,,473,3.8,1.2,,78,1134,1.9,11265,,,116,230,0.005,12.3,,0.4,1.51,0.52,17,42,6.84,91,204,48,437,89
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634B-11T,SHRIMP-RG,Rim,,,214,4.7,0.6,,82,598,1.5,10814,,,55,121,0.008,7.7,,0.3,0.86,0.305,9,23,3.89,48,120,27,248,51
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634B-12T,SHRIMP-RG,Rim,,,231,5.5,0.6,,108,733,2.2,10201,,,47,114,0.013,7.1,,0.2,1.17,0.439,12,28,4.98,62,148,35,320,66
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634B-13T,SHRIMP-RG,Rim,,,436,15.6,13.4,,268,1580,3.7,8046,,,162,196,0.052,14,,1.1,2.61,1.148,28,65,11.05,146,291,70,521,102
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634B-14T,SHRIMP-RG,Rim,,,560,6,0.6,,156,1886,4.8,10613,,,290,374,0.018,23.9,,0.8,2.56,0.953,30,71,11.81,158,354,84,762,149
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634B-15T,SHRIMP-RG,Rim,,,470,4.8,2.8,,108,1990,11.3,11591,,,1016,1042,0.246,45.2,,1,3.31,0.46,37,76,14.63,179,390,88,784,144
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S01.1C,SHRIMP-RG,Core,,,1623,11.2,1.1,,395,6953,12.9,8604,,,2285,1646,0.07,94.1,,5.9,13.93,5.501,139,270,49.3,599,1298,297,2628,512
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S01.2R,SHRIMP-RG,Rim,,,282,9.1,0.3,,97,714,1.6,9250,,,96,178,0.014,10.3,,0.3,1.3,0.517,12,28,5.1,64,140,32,279,55
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S-01.3,SHRIMP-RG,Rim,,,270,6.7,0.7,,74,504,1.5,9005.5,,,41,113,,5.6,,0.2,0.7,0.228,7.4,19.1,2.9,42,98,24.4,228,48
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S02.1R,SHRIMP-RG,Rim,,,305,6.5,0.4,,96,877,2.4,10012,,,166,262,0.011,11,,0.5,1.28,0.488,16,35,6,81,181,40,342,68
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S02.2C,SHRIMP-RG,Core,0.03,,1860,14.3,6,,413,8268,17.5,8066,,,2360,1549,0.194,100.7,,8.1,18.4,6.362,174,334,64.8,786,1545,333,2774,517
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S-02.3,SHRIMP-RG,Rim,,,454,5.1,2.5,,90,975,2.6,10205.9,,,83,162,,8.9,,0.5,1.77,0.396,16.4,36.5,6.2,82,175,39.7,374,73
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S03.1SZR,SHRIMP-RG,Rim SZ,,,552,4.3,0.7,,108,820,1.9,10250,,,69,166,0.032,6.4,,0.3,1.03,0.309,14,31,5.4,73,167,40,356,73
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S03.2SZR,SHRIMP-RG,Rim SZ,,,572,4.5,0.6,,101,805,1.4,10333,,,67,161,,6.7,,0.2,0.98,0.201,11,30,4.7,68,163,39,358,73
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S04.1R,SHRIMP-RG,Rim,,,267,8.3,0.3,,141,822,2.3,9012,,,50,129,0.006,7.8,,0.4,1.12,0.457,14,32,5.2,72,166,41,361,78
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S04.2I,SHRIMP-RG,Interior,,,389,4.3,0.4,,86,2411,3.2,10360,,,492,589,0.009,21.6,,2.4,5.59,1.121,56,104,21.1,254,505,114,1000,196
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S04.3C,SHRIMP-RG,Core,,,230,5,0.4,,64,1520,1.8,9977,,,173,240,0.021,10.7,,1.3,3.24,1.05,32,64,12.3,144,292,64,570,106
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S05.1C,SHRIMP-RG,Core,,,1644,6.4,0.8,,263,6548,39.3,10782,,,5858,3758,0.039,174.8,,3.7,12.82,1.518,140,253,51.7,611,1178,254,2053,379
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S05.2R,SHRIMP-RG,Rim,,,280,7.4,0.1,,146,934,3.1,9525,,,63,160,0.009,8.9,,0.4,1.19,0.454,15,35,5.8,77,194,46,427,86
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S06.1SZR,SHRIMP-RG,Rim SZ,,,544,5.9,1.2,,118,801,1.5,9943,,,53,122,1.264,7.7,,0.8,0.25,0.366,11,33,5.5,76,165,38,349,70
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S06.2SZR,SHRIMP-RG,Rim SZ,,,469,11.6,0.4,,167,1471,4.1,9166,,,579,466,0.006,19.1,,0.8,2.46,0.971,28,59,11.2,142,285,60,501,93
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S-06.3,SHRIMP-RG,Interior,,,455,11.8,1.3,,232,1947,5.3,9125.4,,,185,282,,17.6,,1.1,2.74,1.102,34.3,75.1,12.7,165,376,82.9,745,145
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S07.1C,SHRIMP-RG,Core,,,298,7.1,0.4,,120,1008,3.1,9276,,,100,195,0.027,11.2,,0.5,1.37,0.502,16,40,6.5,88,197,47,428,90
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S07.2DZ,SHRIMP-RG,Core,,,487,4.4,0.3,,94,2642,3.8,10820,,,511,592,0.02,31.1,,2.4,5.73,0.94,51,104,20.4,248,504,109,936,173
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S07.3R,SHRIMP-RG,Rim,,,275,6.7,0.4,,116,906,2.6,9715,,,91,177,0.008,10.9,,0.4,1.27,0.421,15,36,6,76,178,42,375,77
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S08.1SZR,SHRIMP-RG,Rim SZ,,,286,9.7,0.3,,137,883,2.4,8827,,,79,139,0.006,8.7,,0.3,1.13,0.543,15,34,5.7,79,175,40,350,68
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S08.2SZR,SHRIMP-RG,Rim SZ,,,498,7.8,0.6,,134,763,1.4,8785,,,41,87,0.02,4.8,,0.3,1.16,0.568,15,30,5.3,70,154,36,306,62
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S08.3SZR,SHRIMP-RG,Rim SZ,,,284,6.7,0.6,,101,1854,1.7,9307,,,152,205,0.02,11.1,,2,4.61,1.641,45,77,15.9,189,353,75,615,116
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S-08.4,SHRIMP-RG,Interior,,,240,3.5,1.2,,74,841,4,10152.6,,,93,203,,7.8,,0.4,1.12,0.237,15.6,34.6,5.8,84,170,39.3,347,64
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S09.1R,SHRIMP-RG,Rim,,,269,5.6,0.4,,97,838,2.7,10181,,,85,179,0.003,10.5,,0.3,1.09,0.309,14,33,5.5,71,169,39,367,75
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S10.1R,SHRIMP-RG,Rim,,,289,7.3,0.3,,100,794,1.9,9602,,,120,207,0.014,9.9,,0.5,1.3,0.431,15,32,5.6,75,159,36,307,60
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S11.1C,SHRIMP-RG,Interior,,,1515,11.1,0.5,,366,6006,11.2,8535,,,1340,992,0.035,66.8,,4.6,11.54,4.912,115,219,39.3,490,1055,228,2063,381
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S11.2R,SHRIMP-RG,Rim,,,319,7.5,0.3,,99,800,2.3,9802,,,147,239,0.011,11,,0.4,1.36,0.481,15,35,5.9,78,163,38,323,65
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S12.1R,SHRIMP-RG,Rim,,,277,8.1,0.3,,90,698,1.7,9195,,,84,165,0.019,9.5,,0.4,1.13,0.454,12,29,4.9,62,136,32,281,57
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S-12.2,SHRIMP-RG,Interior,0.09,,822,11.2,1.1,,222,3182,4.2,7835.7,,,339,328,0.1,23.1,,2.7,6.59,3.081,68.3,128.3,25.7,307,599,138,1242,239
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S13.1SZR,SHRIMP-RG,Rim SZ,,,305,6.6,0.3,,125,1054,3.7,9892,,,117,224,0.019,12.1,,0.4,1.49,0.569,17,43,7,91,218,50,432,87
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S13.2SZR,SHRIMP-RG,Rim SZ,,,587,7.1,0.4,,147,926,1.7,9047,,,63,139,0.008,7.1,,0.4,1.26,0.445,15,37,6.3,85,189,43,391,76
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S-13.3,SHRIMP-RG,Interior,0.04,,373,10.2,1,,126,986,2.9,8781.2,,,186,248,,13.1,,0.6,1.83,0.654,17.5,39.6,6.8,92,201,45.5,401,77
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S14.1R,SHRIMP-RG,Rim,,,283,10.9,0.3,,205,1004,2.8,8691,,,58,126,0.008,7.8,,0.4,1.13,0.57,17,41,6.6,87,207,47,409,81
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S14.2C,SHRIMP-RG,Core,0.18,,129,5.5,1.5,,53,365,1.6,9791,,,53,86,0.044,3.9,,0.2,0.82,0.185,9,21,3.9,47,96,21,174,32
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S15.1C,SHRIMP-RG,Core,,,367,4.1,0.4,,53,946,1.4,9111,,,166,341,0.014,7.8,,0.4,1.09,0.461,12,35,5.3,67,183,48,464,97
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S15.2DZ,SHRIMP-RG,Interior,,,419,9.1,1.9,,74,1918,5.1,8933,,,1789,1472,0.034,38.8,,1.7,4.72,1.704,39,72,14,164,360,86,808,159
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S15.3R,SHRIMP-RG,Rim,,,375,3.4,0.3,,71,1137,4.6,11749,,,344,525,0.014,20,,0.5,1.36,0.237,19,44,7.5,99,216,52,451,87
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S16.1C,SHRIMP-RG,Core,,,291,3.8,0.5,,64,791,3.1,12155,,,119,245,0.017,12.5,,0.3,1.06,0.203,11,32,5.2,72,170,40,356,72
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S16.2DZ,SHRIMP-RG,Interior,,,563,5.8,0.3,,117,1808,9.3,11074,,,964,842,0.006,36.4,,0.8,2.77,0.614,34,69,13.4,168,333,73,649,121
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S16.3R,SHRIMP-RG,Rim,,,249,4.4,0.1,,62,780,2.4,11080,,,193,288,0.02,14,,0.3,1.01,0.274,14,33,5.4,71,159,36,317,64
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S17.1DC,SHRIMP-RG,Core,,,1727,11.2,1.9,,315,9234,21.5,9486,,,3062,1787,0.154,154.5,,11.2,26.22,4.582,224,357,77.5,866,1525,322,2634,474
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S17.2R,SHRIMP-RG,Rim,,,301,7,0.4,,131,899,2.8,9738,,,65,153,0.011,8.8,,0.3,1.09,0.382,14,35,5.3,73,178,42,403,84
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S18.1R,SHRIMP-RG,Rim,,,233,8.1,0.4,,76,572,2.1,9564,,,69,127,0.016,7.3,,0.3,0.92,0.272,9,23,3.9,51,112,26,225,45
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S-18.3,SHRIMP-RG,Rim,,,267,6.5,0.9,,90,1619,2.7,9539.5,,,134,186,,10.2,,1.6,3.71,1.284,36.3,65.7,13.1,162,307,67.4,571,106
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S19.1R,SHRIMP-RG,Rim,,,356,8.3,0.3,,107,1007,2.7,9712,,,225,301,0.005,14.1,,0.6,1.58,0.65,17,40,6.9,92,196,44,377,73
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S19.2SZC,SHRIMP-RG,Interior,,,397,7.5,1.3,,106,650,1.8,9231,,,55,118,0.038,6.8,,0.3,0.86,0.284,10,26,4.4,60,138,33,294,61
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S19.3SZC,SHRIMP-RG,Interior,,,338,10.8,0.4,,174,1077,3.2,9077,,,123,202,0.021,13,,0.6,1.75,0.695,17,43,7,93,210,48,418,86
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S20.1R,SHRIMP-RG,Rim,,,307,7.7,0.3,,108,939,2.8,9187,,,123,191,0.024,12.1,,0.6,1.49,0.584,16,37,6.8,87,180,41,352,65
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S-20.2,SHRIMP-RG,Rim,,,504,5.7,1,,108,744,1.8,9070.7,,,46,102,,5.5,,0.3,0.89,0.377,11.7,28,4.7,62,139,32.9,302,60
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S21.1R,SHRIMP-RG,Rim,,,325,7.9,0.4,,110,884,2.5,9723,,,147,235,0.023,11.6,,0.5,1.53,0.564,16,38,6.6,83,179,40,351,70
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S22.1SZC,SHRIMP-RG,Interior SZ,,,233,7.9,2.5,,93,1348,1.2,9459,,,113,144,0.034,9.8,,1.4,3.59,1.29,32,56,11.4,138,257,55,445,86
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S22.2SZC,SHRIMP-RG,Interior SZ,,,434,7.4,0.8,,119,677,1.3,9281,,,39,88,0.003,5.3,,0.3,0.79,0.407,10,26,4.4,59,133,31,275,57
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S22.3R,SHRIMP-RG,Rim,,,276,7,0.3,,134,852,2.8,9436,,,52,128,0.003,7.3,,0.3,1.02,0.435,15,34,5.4,72,174,40,365,74
"Oruanui rhyolite, New Zealand","Barker et al, 2014",0.77,0.1,P1634S23.1R,SHRIMP-RG,Rim,,,274,5.9,0.4,,95,811,2.6,10462,,,86,180,0.003,10,,0.3,1.06,0.286,12,32,5,70,172,40,380,79
